BW,Min,P_Min,Max,P_Max,Avg,P_Avg,Samples,,,,,,,
1220,4.194,7.8557,4.278,7.9222,4.2229,7.881272202381,10,,,,,,,
1225,4.194,7.857,4.228,7.9213,4.20766666667,7.881928356227,9,,,,,,,
1230,4.201,7.8571,4.265,7.9264,4.2197,7.883800151098,10,,,,,,,
1235,4.195,7.8566,4.257,7.9276,4.21855555556,7.885219039987,9,,,,,,,
1240,4.195,7.8575,4.268,7.9284,4.2255,7.886850984431,8,,,,,,,
1245,4.193,7.8587,4.259,7.9255,4.216,7.886563484431,7,,,,,,,
1250,4.194,7.8591,4.267,7.9264,4.2270625,7.887650984431,16,,,,,,,
1255,4.201,7.8591,4.269,7.9263,4.23364285714,7.887406272893,14,,,,,,,
1260,4.193,7.859,4.263,7.9271,4.21644444444,7.887454487179,9,,,,,,,
1265,4.197,7.8593,4.268,7.9265,4.22525,7.887843376068,12,,,,,,,
1270,4.207,7.8601,4.269,7.9259,4.22946153846,7.888868376068,13,,,,,,,
1275,4.195,7.8591,4.279,7.9268,4.22638461538,7.88912991453,13,,,,,,,
1280,4.196,7.8592,4.277,7.9256,4.23388888889,7.888755738706,18,,,,,,,
1285,4.204,7.8594,4.265,7.9247,4.234875,7.887731135531,8,,,,,,,
1290,4.207,7.8591,4.239,7.9244,4.222625,7.887074404762,8,,,,,,,
1295,4.197,7.8586,4.268,7.9285,4.226875,7.888445238095,8,,,,,,,
1300,4.194,7.8595,4.266,7.9273,4.22461538462,7.888157738095,13,,,,,,,
1305,4.2,7.8595,4.277,7.9273,4.234125,7.888268421855,16,,,,,,,
1310,4.196,7.8595,4.257,7.9251,4.22033333333,7.887255921855,9,,,,,,,
1315,4.205,7.8598,4.262,7.9258,4.2355,7.887955921855,14,,,,,,,
1320,4.197,7.8602,4.278,7.9274,4.23207692308,7.888875921855,13,,,,,,,
1325,4.196,7.8602,4.267,7.9257,4.22264285714,7.887743229547,14,,,,,,,
1330,4.198,7.8602,4.268,7.9224,4.22364285714,7.886871251525,14,,,,,,,
1335,4.201,7.8602,4.262,7.9223,4.22830769231,7.887006965811,13,,,,,,,
1340,4.202,7.86,4.28,7.9236,4.23633333333,7.88794619658,9,,,,,,,
1345,4.206,7.8607,4.256,7.9225,4.224,7.888527148961,13,,,,,,,
1350,4.194,7.8598,4.266,7.923,4.22572222222,7.888681694416,18,,,,,,,
